LEI,Entity.LegalName,Entity.LegalAddress.City,Entity.LegalAddress.Country,Registration.RegistrationStatus
029200370C9R1X2J8B30,FBNQUEST TRUSTEES LIMITED,LAGOS,NG,ISSUED
0292003713E6O0AD4G79,MAINSTREET BANK CAPITAL LIMITED,LAGOS,NG,ISSUED
0292003728E9K1CI4J66,CITYCODE TRUST AND INVESTMENT LIMITED,LAGOS,NG,LAPSED
0292003737D4P1AH3E44,EFG HERMES NIGERIA LIMITED,LAGOS,NG,ISSUED
029200374B0P4B01A716,ROSTRUM INVESTMENT AND SECURITIES LIMITED,LAGOS,NG,ISSUED
029200375F8R6Z75I827,TRUSTBANC CAPITAL MANAGEMENT LIMITED,VICTORIA ISLAND,NG,ISSUED
0292003768D9N8AI3J94,FSL SECURITIES LTD,VICTORIA ISLAND,NG,LAPSED
029200377B3N0X3L1D94,ALONATI IDB LIMITED,LAGOS,NG,ISSUED
029200378B3O1B9I1D22,TITAN TRUST BANK LIMITED,VICTORIA ISLAND,NG,LAPSED
0292003798B1N8U8I122,BELUGA ENERGY LIMITED,LAGOS,NG,LAPSED
0292003818A1T1X5I052,FCMB GROUP PLC,LAGOS,NG,LAPSED
0292003823C8T7UD2I52,FCMB PENSIONS LIMITED,ABUJA,NG,ISSUED
0292003838F1R9C8I593,MAI AND NEL LTD,LAGOS,NG,LAPSED
0292003846E3R0XG4D42,GTI ASSET MANAGEMENT AND TRUST LIMITED,LAGOS ISLAND,NG,LAPSED
029200385F9R0X5J8A26,ECOBANK NIGERIA LIMITED,VICTORIA ISLAND,NG,DUPLICATE
0292003868E7K2B6I423,DER ZUWACHS CREST CAPITAL LIMITED,LAGOS,NG,LAPSED
0292003873E0K6YD4A95,GLOBAL SPECTRUM SERVICES PLC,MAITAMA,NG,LAPSED
0292003883D4O2XD3E55,ACCESS PENSION FUND CUSTODIAN LTD,LAGOS,NG,LAPSED
029200388A7S7Z5I0H57,STANBIC IBTC HOLDINGS PLC,LAGOS,NG,ISSUED
0292003898E7N8V6I421,NOVA COMMERCIAL BANK LIMITED,LAGOS,NG,LAPSED
0292003906D6L4VG3G39,YUDERB INVESTMENTS AND SECURITIES LIMITED,LAGOS,NG,ISSUED
0292003918F3N6B5I511,FSDH HOLDING COMPANY LIMITED,LAGOS,NG,LAPSED
0292003928C0S5A4I271,SIX THOUSAND INVESTMENTS LIMITED,LAGOS,NG,LAPSED
0292003931H3L6XB7D80,WOSBAB ENERGY SOLUTION NIGERIA LIMITED,LAGOS,NG,LAPSED
0292003946H7N9CG7H42,TECHINVEST LIMITED,LAGOS,NG,LAPSED
0292003950B8L3XA1I72,PURE FLOUR MILLS LIMITED,SURULERE,NG,LAPSED
0292003967C9R5XH2J81,DE UNITED FOODS INDUSTRIES LIMITED,SURULERE,NG,LAPSED
029200396H3K1YG7D555,STANBIC NOMINEES NIGERIA LIMITED,LAGOS,NG,ISSUED
029200397C7S92H9JC43,MEYER PLC,LAGOS,NG,ISSUED
0292003988E8Q2ZI4I20,OLAM NIGERIA LIMITED,LAGOS,NG,ISSUED
0292003996A9OG0J7619,VITAFOAM NIGERIA PLC,IKEJA,NG,ISSUED
029200400G0P56A7FG47,JULIUS BERGER NIGERIA PLC,ABUJA,NG,ISSUED
0292004013C0QD2A8305,LAW UNION AND ROCK INSURANCE PLC,LAGOS,NG,LAPSED
0292004023E8N7XD4I91,NOTORE CHEMICAL INDUSTRIES PLC.,VICTORIA ISLAND,NG,ISSUED
029200405B5L5Y9M1F79,FRANK ANOVIC OIL AND GAS NIGERIA LIMITED,WARRI,NG,LAPSED
0292004074A9M7VE0J84,MCNICHOLS CONSOLIDATED PLC,AREPO,NG,ISSUED
0292004080B2O2UA1C87,AZURA POWER WEST AFRICA LTD,LAGOS ISLAND,NG,ISSUED
029200408H7M7DI7H683,CUSTODIAN AND ALLIED PLC,LAGOS,NG,LAPSED
0292004091B1T2XB1B52,SKYMARK PARTNERS LIMITED,LEKKI,NG,ISSUED
029200412G7N0Y06H675,COURTEVILLE BUSINESS SOLUTIONS PLC,LAGOS,NG,LAPSED
0292004137E6P2WH4G93,ROYAL SALT LIMITED,IKOYI,NG,LAPSED
0292004148G4L9B3I687,MVAN CCO 1 LIMITED,LAGOS,NG,LAPSED
029200415C4Q72E8HC32,UNIVERSAL INSURANCE PLC,LAGOS,NG,LAPSED
029200416G8O2Z36I723,ELLINGTON NIGERIA LTD,LAGOS,NG,LAPSED
0292004170C8N3UA2I75,METAL MANUFACTURING NIGERIA LIMITED,GBARA,NG,ISSUED
029200417A8N7XH0I647,RED STAR EXPRESS PLC,LAGOS,NG,ISSUED
0292004188G0O8U1I658,CAFINT RESOURCES LIMITED,PORT HARCOURT,NG,LAPSED
0292004192C9S2VC2J20,RELIANCE CHEMICAL PRODUCTS LIMITED,VICTORIA ISLAND,NG,LAPSED
0292004207C8S5YH2I73,NPF MICROFINANCE BANK PLC,OBALENDE,NG,LAPSED
029200421B2S3W5N1C65,LOTUS BANK LIMITED,LAGOS,NG,ISSUED
0292004228E0L0U3I469,IKUJE EQUITY TRADING LTD,GWARINPA,NG,LAPSED
0292004238F3R6AI5D38,TIDDO SECURITIES LIMITED,FCT,NG,LAPSED
0292004248F4N2XI5E59,CALYX SECURITIES LIMITED,LAGOS,NG,LAPSED
0292004258F9P7WI5J25,GREENWICH MERCHANT BANK LIMITED,LAGOS,NG,ISSUED
0292004268H8Q5C7I717,STRUCTUREDSECURE GOLDINVEST SPV PLC,LAGOS ISLAND,NG,LAPSED
0292004278B1P9BI1B09,DAAR COMMUNICATIONS PLC,ABUJA,NG,LAPSED
0292004288A4T9A3I015,ALPHA MORGAN CAPITAL MANAGERS LIMITED,VICTORIA ISLAND,NG,LAPSED
029200428G6N7AI6G645,LINKAGE ASSURANCE PLC,LAGOS,NG,ISSUED
029200429C1N12B6BC48,DN TYRE AND RUBBER PLC,"IKEJA, LAGOS",NG,LAPSED
0292004308B8Q8D2I144,ALONATI CAPITAL LIMITED,SURULERE,NG,ISSUED
0292004318G5N7B1I676,BLACKBIRCH CAPITAL LIMITED,LAGOS,NG,ISSUED
0292004328F5M6C2I582,AFRICHANGE TECHNOLOGIES AND SERVICES NIGERIA LIMITED,ABEOKUTA,NG,LAPSED
0292004330E5P4YA4F19,LORNA NIGERIA LIMITED,LAGOS,NG,LAPSED
029200436B4L2Z9K1E70,JUMPSTART LIMITED,LAGOS,NG,LAPSED
029200436B7LG1H56B89,CEMENT COMPANY OF NORTHERN NIGERIA PLC,SOKOTO,NG,LAPSED
029200437C2O2X22C760,SUDELETTRA NIGERIA LIMITED,PORT HARCOURT,NG,LAPSED
029200438B5R4C5E1F82,SERVAPPS LIMITED,GBAGADA,NG,LAPSED
0292004392H8P3C7I743,BERACHAH CHILDREN'S ORGANIZATION,LEKKI,NG,LAPSED
0292004408E2N5C0I417,REPOHOUSE LIMITED,LEKKI,NG,ISSUED
0292004418C5P3Y6I290,CAVIDEL LIMITED,LAGOS,NG,ISSUED
0292004428B6N8Y2I119,NIGERIA MORTGAGE REFINANCE COMPANY,LAGOS,NG,ISSUED
0292004433E1P1VD4B21,CONSTANT CAPITAL MARKETS AND SECURITIES LIMITED,IKOYI,NG,ISSUED
0292004448C0N9D9I253,CRUXSTONE DEVELOPMENT AND INVESTMENT LIMITED,LEKKI,NG,LAPSED
0292004458E6L5A6I433,JAVIMA INVESTMENT LIMITED,LAGOS,NG,LAPSED
0292004469M5WJ6F7922,ABBE-JOHNSON BUSINESS CONSEPT,ABEOKUTA,NG,LAPSED
029200447B6P9B6N1G18,CORDROS SECURITIES LIMITED,LAGOS,NG,LAPSED
0292004488G9K8Y1I649,GUARANTY TRUST HOLDING COMPANY PLC,LAGOS,NG,ISSUED
029200448B5I1F8B5I87,UNILEVER NIGERIA PLC,LAGOS,NG,ISSUED
0292004498H3S7I7D920,BELFRY INVESTMENTS AND SECURITIES LIMITED,LAGOS ISLAND,NG,ISSUED
0292004508E6S2B8I491,CORDROS TRUSTEES LIMITED,IKOYI,NG,LAPSED
029200451G9P5C56J708,PAC ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
0292004528G9O0V8I626,XPAT MARKET SOLUTIONS AND CONSULT LIMITED,UYO,NG,LAPSED
0292004535H2Q4BF7C84,JAIZ BANK PLC,ABUJA,NG,LAPSED
0292004548H8P7U8I790,VEGA SECURITIES LIMITED,LAGOS,NG,ISSUED
0292004558B0R5B7I133,ARM TRADITIONAL ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
0292004568D6M9Y0I395,IBR-GLOBAL MARKETS LTD,SURULERE,NG,LAPSED
029200457B1M2Y3I1B19,MAGRAMS CAPITAL LTD,LEKKI,NG,ISSUED
0292004583F0Q1XD5A83,FORELIGHT ENERGY SOLUTIONS LIMITED,PORT HARCOURT,NG,LAPSED
029200458H6K8XI7G528,ABBEY MORTGAGE BANK PLC,LAGOS,NG,LAPSED
0292004598C8Q8Y7I294,NEVEAH LIMITED,ABUJA,NG,ISSUED
0292004638B5N7I1F648,FRIESLANDCAMPINA WAMCO NIGERIA PLC,LAGOS,NG,LAPSED
029200463E1OD4B73E33,OANDO PLC,LAGOS,NG,LAPSED
029200464B2K4D1J1C78,QUANT INVESTMENT MANAGERS LIMITED,LAGOS,NG,LAPSED
0292004658F0L2UI5A92,TECON OIL SERVICE LTD,LAGOS,NG,LAPSED
029200466J5P9U79F711,FIRST EXPLORATION AND PETROLEUM DEVELOPMENT COMPANY LIMITED,LAGOS,NG,LAPSED
0292004676F9T9ZG5J12,AUTO MERIDIAN LIMITED,LAGOS,NG,LAPSED
029200468B4N9U6G1E84,MARATHON ASSET AND FUND MANAGEMENT LIMITED,LAGOS,NG,LAPSED
0292004698H3T9Y9I711,THE OAK CAPITAL LIMITED,IKOYI,NG,LAPSED
0292004700H8Q8A7I815,PARCO ENTERPRISES NIGERIA LIMITED,LAGOS,NG,LAPSED
0292004716J3O0XG9D10,AFRICAN STEEL MILLS NIGERIA LIMITED,LAGOS,NG,LAPSED
029200472D9P1C3J7B50,CONTINENTAL REINSURANCE PLC,LAGOS,NG,LAPSED
029200473J6M8W29G674,TWININGS OVALTINE NIGERIA LIMITED,IKEJA,NG,LAPSED
0292004753C7N5UD2H36,BUA FOODS PLC,VICTORIA ISLAND,NG,LAPSED
0292004763E4T4D4E990,CROSWORLD SECURITIES LIMITED,IKOYI,NG,LAPSED
029200477B3Q3D0H1D14,DUKIA GOLD AND PRECIOUS METALS REFINING CO. LTD.,SHOMOLU,NG,ISSUED
0292004788G5N7U4I688,MANGO ASSET MANAGEMENT,IKOYI,NG,LAPSED
029200479G9K2B16J561,CDL CAPITAL MARKETS LIMITED,IKOYI,NG,LAPSED
0292004803E2T3BD4C94,HALO NIGERIA CAPITAL MANAGEMENT LIMITED,LAGOS ISLAND,NG,ISSUED
029200481C7R9C72H814,LIVINGTRUST MORTGAGE BANK PLC,OSOGBO,NG,ISSUED
0292004825A1Q7DF0B96,IHS (NIGERIA) LIMITED,VICTORIA ISLAND,NG,ISSUED
0292004831B4F0VB1E91,CLARKE ENERGY NIGERIA LTD,LAGOS,NG,LAPSED
029200484B3Q61D8GB67,CFAO MOTORS NIG LTD,LAGOS,NG,ISSUED
0292004857D6LH3G5764,NIGERIAN EXCHANGE GROUP,LAGOS,NG,LAPSED
029200485E7OF4H75E77,STUDIO PRESS NIGERIA PLC,LAGOS,NG,LAPSED
029200486B6N3X4E1G91,BASEFLUID EXCHANGES LIMITED,LAGOS,NG,LAPSED
0292004875D4M7AF3E76,FSDH ASSET MANAGEMENT LIMITED,LAGOS ISLAND,NG,ISSUED
0292004888E2L8D0I480,COVENSOFT,AJAH,NG,ISSUED
0292004905B9O1DF1J36,INTERSWITCH LIMITED,LAGOS,NG,ISSUED
0292004918J0S8WI9A13,PROVIDUS BANK LIMITED,LAGOS,NG,ISSUED
0292004926G1Q1C4G629,ARBITENCY TECHNOLOGIES,APAPA,NG,LAPSED
0292004938H0O4B6I724,QUADRATIX LIMITED,LAGOS,NG,LAPSED
0292004940E0S8WA4A57,ND WESTERN LIMITED,LAGOS,NG,ISSUED
029200494H3E7D4H3E24,WEMA BANK PLC,LAGOS,NG,ISSUED
0292004951G1Q6B6B836,MINERALITE NIGERIA LIMITED,LAGOS,NG,LAPSED
0292004968C9T0U1I206,RNDC ALLIANCE WEST AFRICA LIMITED,ABUJA,NG,LAPSED
0292004977C0S9U6H211,YELLOWKEED MUSIC COMPANY,FESTAC TOWN,NG,LAPSED
0292004988C2M4C0I253,LAGOS COMMODITIES AND FUTURES EXCHANGE,LAGOS,NG,LAPSED
0292004998A7K8C1I034,IAC GLOBAL INVESTMENT LIMITED,WUSE II,NG,LAPSED
0292005003G5R4DD6F14,SUNBETH GLOBAL CONCEPTS LIMITED,AKURE,NG,LAPSED
0292005013E6R7YD4G92,ATLAS REGISTRARS LIMITED,IGANMU SURULERE,NG,LAPSED
0292005028A0K1DI0A69,MAERSK NIGERIA LIMITED,LAGOS,NG,LAPSED
029200503B4K1Z7G1E71,MARATHON CAPITAL MARKETS LIMMITED,LAGOS,NG,LAPSED
0292005048H3P6V8I753,ACCESS HOLDINGS PLC,LAGOS,NG,ISSUED
0292005058A8S7W5I026,KONGA ONLINE NIGERIA LIMITED,GBAGADA,NG,LAPSED
0292005066G8M0G6I609,MIKANO INTERNATIONAL LIMITED,IKEJA,NG,LAPSED
0292005078D4Q6ZI3E55,NAGODE INDUSTRIES LIMITED,LAGOS,NG,LAPSED
0292005086C7T5YG2H91,PIPC SECURITIES LIMITED,JOS NORTH,NG,ISSUED
029200508J0Q4YI9A892,SECURITY SWAPS LIMITED SECURITY,LAGOS,NG,ISSUED
0292005093B3N5VD1D28,PARDEE FOODS NIGERIA LIMITED,SANGO OTTA,NG,LAPSED
0292005108G0N2C7I670,TKB CAP LTD,LEKKI,NG,ISSUED
0292005113C4P2DD2E35,COMPASS INVESTMENTS AND SECURITIES LIMITED,LAGOS,NG,ISSUED
0292005128F1P1Y9I543,FSDH NOMINEES LIMITED,LAGOS ISLAND,NG,ISSUED
0292005138H1L9Y6I738,KINLOS CAPITAL PARTNERS LIMITED,UTAKO,NG,LAPSED
0292005143D6Q0XD3G61,APM TERMINALS APAPA LTD,LAGOS,NG,LAPSED
0292005156N1C9G7G634,PRISM EDGE OPTIMUS ENTERPRISE,LEKKI,NG,LAPSED
0292005165B3LF1D5502,CADBURY NIGERIA PLC,IKEJA,NG,ISSUED
029200517B6T8C5K1G46,BPL NIGERIA LIMITED,SHAGAMU,NG,ISSUED
0292005188F9K5Z7I523,SEPLAT ENERGY OFFSHORE LIMITED,LAGOS,NG,ISSUED
029200518F3SI5D98F61,LAFARGE AFRICA PLC,LAGOS,NG,ISSUED
0292005191B3N3BB1D05,AVA SECURITIES LIMITED,IKOYI,NG,LAPSED
0292005207E3S9BH4D67,APEACHES CAPITAL LIMITED,IKOYI,NG,ISSUED
029200522B7T5V4I1H37,FIRMUS ASSET MANAGEMENT LIMITED,LEKKI,NG,LAPSED
029200522F7C5H2F7C69,NCR NIGERIA PLC,LAGOS,NG,ISSUED
0292005238A8K3AI0I55,TASK SYSTEMS LIMITED,GBAGADA,NG,LAPSED
0292005248H6R0B3I761,AYOOLA INVESTMENT MANAGEMENT LIMITED,LAGOS,NG,LAPSED
0292005253H6Q4DD7G85,GEREGU POWER PLC,LAGOS,NG,ISSUED
0292005262F9N4YC5J53,STI ASSETS MANAGEMENT LIMITED,LAGOS,NG,ISSUED
0292005278G8Q1W6I655,BAIGE CAPITAL LTD,YABA,NG,LAPSED
0292005288F5Q5W8I559,BLUESTEM CAPITAL LIMITED,LAGOS,NG,ISSUED
0292005298D6L2I3G552,BETA GLASS PLC,IDDO,NG,LAPSED
0292005308A2T4D0I006,CORDROS ASSET MANAGEMENT LIMITED,"SOUTH WEST, IKOYI",NG,ISSUED
0292005318F7T1C3I559,COMMODITIES TRADENET LIMITED,LAGOS ISLAND,NG,LAPSED
029200532B1T5Y3I1B37,ACCESS INVESTORS SERVICES NOMINEES LIMITED,VICTORIA ISLAND,NG,LAPSED
0292005338C4M4Z3I202,ANCHORIA ASSET MANAGEMENT LIMITED,IKOYI,NG,LAPSED
0292005348F3L7V6I514,STERLING FINANCIAL HOLDINGS COMPANY PLC,LAGOS,NG,LAPSED
0292005358C3N4A9I218,COMERCIO PARTNERS LIMITED,LAGOS,NG,ISSUED
0292005368B9N9B7I135,BUA CEMENT PLC,LAGOS,NG,ISSUED
0292005377B9R9VH1J12,FALCON SECURITIES LIMITED,LAGOS,NG,ISSUED
029200537B8RH1I87B38,GREAT NIGERIA INSURANCE PLC,LAGOS,NG,LAPSED
029200538B0O5X9N1A47,MUTA TECHNOLOGIES LIMITED,ABUJA,NG,LAPSED
0292005397E0L4XH4A23,PINE PETOSAN LIMITED,LAGOS,NG,ISSUED
0292005406D5S7BG3F15,RESOLUTION TRUST AND INVESTMENTS CO. LTD,LAGOS,NG,ISSUED
0292005416D5S7DG3F92,RESOLUTION SECURTIES LTD,LAGOS,NG,ISSUED
0292005420C8Q9ZA2I33,ORITSETIMEYIN LOGISTICS LIMITED,LAGOS,NG,ISSUED
0292005430F8O6VA5I15,ATLANTIS MARINE OIL AND GAS LIMITED,LAGOS,NG,ISSUED
0292005445B7TF1H9540,ARDOVA PLC,LAGOS ISLAND,NG,LAPSED
0292005458F9R0X5I582,ASSETIUM CAPITAL MANAGEMENT LIMITED,ABUJA,NG,LAPSED
0292005463G4M3ZD6E90,PORTFOLIO ADVISERS LTD,LAGOS,NG,LAPSED
029200546A9P3G0J7D77,NIGERIAN AVIATION HANDLING COMPANY PLC,LAGOS,NG,ISSUED
0292005472J7L1VC9H62,DUNBELL SECURITIES LIMITED,LAGOS,NG,ISSUED
0292005487F3L7BH5D76,FORTHRIGHT SECURITIES AND INVESTMENTS LIMITED,IKEJA,NG,LAPSED
0292005498C7P0W2I248,DEVELOPMENT BANK OF NIGERIA,ABUJA,NG,LAPSED
0292005508E3Q2W2I412,FUTUREVIEW ASSET MANAGEMENT LIMITED,LAGOS,NG,LAPSED
0292005511C9L8AB2J11,VFD GROUP PLC,LAGOS,NG,ISSUED
0292005523B9L5ZD1J39,MECURE INDUSTRIES PLC,LAGOS,NG,ISSUED
0292005532D5P9XC3F96,RADIX CAPITAL PARTNERS LIMITED,VICTORIA ISLAND,NG,LAPSED
0292005547A7Q0Y1H014,LSEF LIMITED,VICTORIA ISLAND,NG,LAPSED
029200554A7E0H4A7E41,GREIF NIGERIA PLC,LAGOS,NG,LAPSED
029200555G8S8C86I919,CRUSADERSTERLING PENSIONS LIMITED,IKOYI,NG,ISSUED
0292005561F4L1WB5E12,ECOBANK NOMINEES LIMITED,VICTORIA ISLAND,NG,ISSUED
0292005578J8L5B3I905,CONSOLIDATED HALLMARK HOLDINGS PLC,LAGOS,NG,LAPSED
0292005583F3P2ZD5D86,GZ INDUSTRIES LIMITED,AGBARA,NG,LAPSED
0292005598A2R8A1I085,SCM CAPITAL ASSET MANAGEMENT LIMITED,MARINA,NG,LAPSED
0292005603C5N4CD2F57,GDL ASSET MANAGMENT LTD,LAGOS,NG,LAPSED
0292005612D6P5C7C331,AFEX CAPITAL LIMITED,LEKKI,NG,LAPSED
0292005628A2R6Y3I060,TRANSCORP POWER PLC,LAGOS,NG,LAPSED
029200562G0K0C6A5A70,CHAMS PLC,LAGOS,NG,ISSUED
0292005638F4S6A9I508,BAMBOO SYSTEMS TECHNOLOGY LIMITED,LAGOS,NG,LAPSED
029200564G7N0Y86H603,DANGOTE SUGAR REFINERY PLC,APAPA,NG,LAPSED
0292005668F2S8U7I540,EMERGING AFRICA ASSET MANAGEMENT LIMITED,LAGOS,NG,LAPSED
0292005676C0Q0WG2A86,CRANE SECURITIES LIMITED,LAGOS,NG,LAPSED
0292005688F4T6Z6I523,OPTIMUM GLOBAL CAPITAL MANAGEMENT LTD,VICTORIA ISLAND,NG,LAPSED
0292005697F1S6XH5B03,BESTWORTH ASSETS AND TRUST LTD,LAGOS ISLAND,NG,LAPSED
0292005703A1L1UD0B81,LEADWAY ASSET MANAGEMENT COMPANY LIMITED,LAGOS,NG,LAPSED
0292005718F2R6U4I587,EAT AND GO FINANCE SPV PLC,VICTORIA ISLAND,NG,ISSUED
0292005728C7K4C3I285,AVA GLOBAL ASSET MANAGERS LIMITED,IKOYI,NG,LAPSED
0292005731C3N0XB2D10,PAGATECH LIMITED,LAGOS,NG,LAPSED
029200573E4MD4E63E74,MRS OIL NIGERIA PLC,LAGOS,NG,ISSUED
0292005748A2L7YI0C52,SPARKLET ENERGIES LIMITED,LEKKI,NG,ISSUED
029200575B1O9B9J1B69,FUNDCO CAPITAL MANAGERS LIMITED,VICTORIA ISLAND,NG,LAPSED
0292005768F0T9U8I574,SPARKLE MICROFINANCE BANK LIMITED,LAGOS,NG,ISSUED
029200577B1R4A1B8E57,FINANCIAL TRUST CO. NIG. LTD,LAGOS,NG,ISSUED
0292005788C4L4AI2E24,ETERNA PLC,LAGOS,NG,LAPSED
0292005799B5R3J1F871,CYPRUS BAMFORD LTD,MAYO BELWA,NG,LAPSED
029200581B4K6D1K1E69,NORRENBERGER ASSET MANAGEMENT LIMITED,ABUJA,NG,ISSUED
0292005828J7Q6AI9H09,ARADEL HOLDINGS PLC,VICTORIA ISLAND,NG,ISSUED
029200582C0SC2A92C89,CONOIL PLC,LAGOS,NG,LAPSED
0292005838C2Q6D4I205,CAPITALFIELD ASSET MANAGEMENT COMPANY LIMITED,IKOYI,NG,LAPSED
0292005848F5R5Z0I584,COMERCIO PARTNERS TRADING LIMITED,LAGOS,NG,ISSUED
0292005858J8N4Z0I929,SYCAMORE INVESTMENT AND ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
029200586G7M16H6BG83,INTERNATIONAL ENERGY INSURANCE PLC,LAGOS,NG,LAPSED
029200587B0L8U6J1A36,AAG CAPITAL LIMITED,LAGOS,NG,ISSUED
0292005881S7D6I8B944,ELLINGTON MICROFINANCE BANK LIMITED,LEKKI,NG,ISSUED
0292005893E8R3WD4I56,SHELL THRIFT AND LOAN FUND TRUSTEES NIGERIA LTD,LAGOS ISLAND,NG,LAPSED
0292005902F2R1B3C559,PAY AFRIONE LIMITED,VICTORIA GARDEN CITY,NG,LAPSED
0292005916D1L5UG3B09,SHALOM INVESTMENT AND FINANCIAL SERVICES LIMITED,LAGOS,NG,ISSUED
029200592G3M0U86D695,TRINITY SECURITIES LIMITED,LAGOS,NG,LAPSED
0292005933J3N0X4D930,TERRALIX NIGERIA LIMITED,LAGOS,NG,ISSUED
0292005948D5S9I3F931,CHAMPION BREWERIES PLC,UYO,NG,LAPSED
0292005956B3N5YG1D77,HALLIBURTON OPERATIONS NIGERIA LIMITED,LAGOS,NG,ISSUED
029200595F3LF5D55F79,CHEMICAL AND ALLIED PRODUCTS PLC,LAGOS,NG,ISSUED
0292005967K5U7I4H585,HALDANE MCCALL PLC,LAGOS,NG,ISSUED
0292005972C1P8X9C221,ALPHA MORGAN BANK LIMITED,ABUJA,NG,LAPSED
0292005988F0O1XI5A41,HALLIBURTON ENERGY SERVICES NIGERIA LIMITED,LAGOS,NG,LAPSED
029200599C1Q62B8GC13,FAN MILK PLC,IBADAN,NG,LAPSED
0292006008E2K1DI4C96,SUPRA COMMERCIAL TRUST LIMITED,VICTORIA ISLAND,NG,LAPSED
029200601D0O3A93A780,BRITISH AMERICAN TOBACCO NIGERIA LIMITED,IBADAN,NG,LAPSED
029200602E0N6V74A684,BRITISH AMERICAN TOBACCO MARKETING NIGERIA LIMITED,LAGOS,NG,LAPSED
0292006032H5O2YC7F21,GOLDEN CAPITAL PLC,LAGOS,NG,LAPSED
0292006042E3T3B8C458,FIL CAPITAL AND ADVISORY LIMITED,LAGOS,NG,ISSUED
0292006058J6O9Z9I924,PAXHILL MINERVA REGISTRARS LIMITED,LAGOS,NG,LAPSED
0292006068H0M9Y3I771,MYRTLE ASSET MANAGEMENT AND TRUST LIMITED,VICTORIA ISLAND,NG,LAPSED
0292006078F3K4C2I513,FMDQ DEPOSITORY LIMITED,VICTORIA ISLAND,NG,ISSUED
0292006088F2T3U6I566,MARBLE ADVISORY LTD,LAGOS,NG,LAPSED
029200608J6SI9G98J15,SEVEN-UP BOTTLING COMPANY PLC,LAGOS,NG,LAPSED
0292006098J2P5W8I934,FIDUCIARY SERVICES LIMITED,VICTORIA ISLAND,NG,ISSUED
029200610B1M3Z6G1B55,FUNDVINE BERKSHIRE ASSETS MANAGEMENT LIMITED,ASOKORO,NG,LAPSED
0292006113F1S6C0D504,LANCELOT REGISTRARS AND INVESTOR RELATIONS LTD,LAGOS,NG,LAPSED
0292006127A8L6B0H025,FICUS CAPITAL AND INVESTMENT MANAGEMENT LTD,IKOYI,NG,LAPSED
0292006138A2P9XI0C65,GOLDEN SECURITIES LIMITED,LAGOS ISLAND,NG,LAPSED
0292006148G9S1C2I671,SAVEST FINANCIAL SERVICES LIMITED,ABUJA,NG,LAPSED
0292006151B2Q5D4B156,AZTRAN GLOBAL INVESTMENTS LIMITED,LEKKI,NG,ISSUED
0292006168G3N7I6D602,VEEPEE INDUSTRIES LIMITED,SANGO OTTA,NG,LAPSED
0292006178F1R6W3I595,REGIUS ASSET MANAGEMENT LIMITED,LAGOS,NG,LAPSED
0292006188F0T6D3I515,RMB NIGERIA ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
029200618G4RI6E88G82,WAPIC INSURANCE PLC,LAGOS,NG,LAPSED
0292006198H4N0UI7E51,PRESCO PLC,BENIN,NG,ISSUED
0292006202G3K6W8C686,ONE TRUST ASSET MANAGEMENT COMPANY LIMITED,LAGOS,NG,ISSUED
0292006211B7R6UB1H69,FOXTROT O AND G COMPANY NIGERIA LIMITED,ABUJA,NG,ISSUED
0292006228G0L6U0I659,CORDROS REGISTRARS LIMITED,LAGOS,NG,ISSUED
0292006238H0K1A8I726,PARTHIAN CAPITAL LIMITED,IKOYI,NG,ISSUED
0292006247G9Q1AH6J04,BGL SECURITIES LIMITED,VICTORIA ISLAND,NG,ISSUED
0292006253F1K6AD5B84,BGL ASSET MANAGEMENT LIMITED,VICTORIA ISLAND,NG,ISSUED
0292006262D4S2A7C327,CRANEBURG EKSG MOTORWAY COMPANY PLC,MAITAMA,NG,ISSUED
0292006278G3T6Z8I650,TSL SPV PLC,IKEJA,NG,ISSUED
0292006288B9N0U7I188,FINANCIAL AND ANALYTICS CAPITAL LIMITED,IKOYI,NG,ISSUED
029200628D9QI3J88D56,TOTAL NIGERIA PLC,LAGOS,NG,ISSUED
0292006298A7S4V8I077,NORTH SOUTH POWER COMPANY LIMITED,MAITAMA,NG,ISSUED
0292006301B3M8W6B131,TRANSGRID ENERCO LIMITED,MAITAMA,NG,ISSUED
0292006318H5O0D5I766,THE BROOK SECURITIES LIMITED,LEKKI,NG,ISSUED
0292006328J0O9C8I935,LIGHTSOURCE ASSOCIATES LIMITED,IKOYI,NG,ISSUED
0292006333F9K2ZD5J19,FUTUREVIEW SECURITIES LIMITED,LAGOS ISLAND,NG,ISSUED
0292006348D0T0WI3A50,MAVEN ASSET MANAGEMENT LIMITED,LAGOS ISLAND,NG,ISSUED
0292006358A2M4C7I057,CORONATION CAPITAL LIMITED,LAGOS,NG,ISSUED
029200635F4Q0CF5E804,MULTIVERSE PLC,LAGOS,NG,LAPSED
0292006373G4T1WD6E27,GREENWICH ASSET MANAGEMENT LIMITED,VICTORIA ISLAND,NG,ISSUED
0292006382A2T6U1C074,CURRENZO NIGERIA LIMITED,ABEOKUTA,NG,ISSUED
029200640K7U6F5H6G54,CORPORATE AFFAIRS COMMISSION,MAITAMA,NG,ISSUED
